id,first_name,last_name,email,salary,currency
1,Elisabetta,Noads,enoads0@sfgate.com,27163,Yuan Renminbi
2,Sherry,Rigden,srigden1@cmu.edu,80602,Zloty
3,Manuel,Tevelov,mtevelov2@list-manage.com,32347,Rupiah
4,Bradan,Bauckham,bbauckham3@walmart.com,89251,Somoni
5,Manya,Duckinfield,mduckinfield4@adobe.com,70354,Peso
6,Uriah,Brightwell,ubrightwell5@chronoengine.com,80833,Manat
7,Guthrey,Hevey,ghevey6@de.vu,53719,Lempira
8,Elizabet,Tomaskunas,etomaskunas7@shutterfly.com,60245,Marka
9,Evie,Hayfield,ehayfield8@craigslist.org,56594,Peso
10,Chelsae,Carlett,ccarlett9@cnet.com,43573,Yen
11,Ambur,Montgomery,amontgomerya@istockphoto.com,25762,Euro
